url,proveedor,codigo,consecutive_404s,first_404_date,last_check_date
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.653,EL LADRILLERO,32,0,,2026-04-25
https://castienda.com.ar/producto/tector-aditivo-hidrofugo-1230-x-20-lts-holcim/,CAS,11,28,2026-03-28,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.661,EL LADRILLERO,33,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.662,EL LADRILLERO,33,0,,2026-04-25
https://castienda.com.ar/producto/sika-1-bidon-x-10-lts/,CAS,12,0,,2026-04-25
https://castienda.com.ar/producto/sika-3-sin-cloruro-bidon-2/,CAS,12,0,,2026-04-25
https://castienda.com.ar/producto/zocalo-de-eps-extra-line-blanco-mate-atrim/,CAS,13,0,,2026-04-25
https://castienda.com.ar/producto/zocalo-de-eps-line-blanco-mate-atrim/,CAS,13,0,,2026-04-25
https://castienda.com.ar/producto/zocalo-de-eps-plain-blanco-mate-atrim/,CAS,14,0,,2026-04-25
https://castienda.com.ar/producto/pastina-classic-x-2-kg-weber/,CAS,14,0,,2026-04-25
https://castienda.com.ar/producto/pastina-prestige-x-2-kg-weber/,CAS,15,0,,2026-04-25
https://castienda.com.ar/producto/pastina-performance-x-1-kg-klaukol/,CAS,15,0,,2026-04-25
https://castienda.com.ar/producto/pastina-clasica-x-1-kg-klaukol/,CAS,16,0,,2026-04-25
https://castienda.com.ar/producto/pegamento-impermeable-holcim-x-25-kg/,CAS,16,0,,2026-04-25
https://castienda.com.ar/producto/pegamento-para-porcelanatos-holcim-x-25-kg/,CAS,17,0,,2026-04-25
https://castienda.com.ar/producto/pegamento-flexible-holcim-x-25-kg/,CAS,17,0,,2026-04-25
https://castienda.com.ar/producto/ceramico-glaciar-36-x-36-alberdi-2da/,CAS,18,28,2026-03-28,2026-04-25
https://castienda.com.ar/producto/azulejo-ceramico-brick-biselado-blanco-bizantina/,CAS,18,0,,2026-04-25
https://castienda.com.ar/producto/guardacanto-quadra-marfil-stone-10-mm-x-10-mm-x-25-m/,CAS,19,0,,2026-04-25
https://castienda.com.ar/producto/adhesivo-rellenador-pro-fix-atrim/,CAS,19,0,,2026-04-25
https://castienda.com.ar/producto/monocomando-mesada-arizona-fv/,CAS,20,0,,2026-04-25
